Name,Category,Description,Price
McVeggie Double Patty Burger,Burgers & Wraps,"Two delectable patties filled with potatoes, peas, carrots and Indian spices. Packed into toasted sesame buns with crispy lettuce and mayonnaise.",190.29
McAloo Tikki Double Patty Burger,Burgers & Wraps,"The world's favorite Indian burger! Two Crunchy potato and peas patties topped with Tom Mayo, tomatoes and onions.",75.09
Big Spicy Paneer Wrap,Burgers & Wraps,"Experience indulgence in every bite with a wrap made of crispy, spicy paneer patty, tomato mayo, lettuce, onions, tomatoes & cheese.",220.0
McAloo Tikki Burger,Burgers & Wraps,"The World's favourite Indian burger! A crispy Aloo patty, tomato mayo sauce & onions",69.52
McSpicy Chicken Burger,Burgers & Wraps,"Indulge in our signature tender chicken patty, coated in spicy, crispy batter, topped with creamy sauce, and crispy lettuce.",208.57
Veg Maharaja Mac Burger,Burgers & Wraps,"Savor our filling 11 layer burger! Double the indulgence with 2 corn & cheese patties, along with jalape?os, onion, cheese, tomatoes, lettuce, and spicy Cocktail sauce.",231.43
McSpicy Paneer Burger,Burgers & Wraps,"Indulge in rich & filling spicy paneer patty served with creamy sauce, and crispy lettuce?irresistibly satisfying!",208.57
McChicken Burger,Burgers & Wraps,"Enjoy the classic, tender chicken patty with creamy mayonnaise and lettuce in every bite",134.74
McVeggie Burger,Burgers & Wraps,"Savour your favorite spiced veggie patty, lettuce, mayo, between toasted sesame buns in every bite",149.14
Grilled Chicken & Cheese Burger,Burgers & Wraps,"A grilled chicken patty, topped with sliced cheese, spicy Habanero sauce, with some heat from jalapenos & crunch from onions",168.57
Big Spicy Chicken Wrap,Burgers & Wraps,"Savour a delicious wrap made with a spicy, crispy chicken patty, creamy sauce, cheese lettuce, onions, tomatoes & seasoning.",220.0
Corn & Cheese Burger,Burgers & Wraps,"A juicy corn and cheese patty, topped with extra cheese, Cocktail sauce, with some heat from jalapenos & crunch from onions",156.19
Chicken Kebab Burger,Burgers & Wraps,A flavourful Chicken Kebab patty topped with a tangy rassam sauce & crunchy onions,112.38
Mexican McAloo Tikki Burger,Burgers & Wraps,Your favourite McAloo Tikki with a fusion spin with a Chipotle sauce & onions,72.38
Masala McEgg Burger,Burgers & Wraps,"A steamed egg, spicy Habanero sauce, & onions on toasted buns, a protein packed delight!",69.52
McCheese Burger Chicken,Burgers & Wraps,"Double the indulgence with a sinfully oozing Cheese patty & flame-grilled chicken patty, along with chipotle sauce, shredded onion, jalapenos & lettuce.",280.95
McSpicy Premium Chicken Burger,Burgers & Wraps,"A wholesome Spicy Chicken patty, Lettuce topped with Jalapenos and Cheese slice, Spicy Cocktail sauce & Cheese sauce",260.0
McSpicy Premium Veg Burger,Burgers & Wraps,"A wholesome Spicy Paneer patty, Lettuce topped with Jalapenos and Cheese slice, Spicy Cocktail sauce & Cheese sauce",248.57
Chicken Maharaja Mac Burger,Burgers & Wraps,"Savor our filling 11 layer burger! Double the indulgence with 2 juicy grilled chicken patties, along with jalape?os, onion, cheese, tomatoes, lettuce, and zesty Habanero sauce.",254.29
Cheese Italian Chicken Burger,Burgers & Wraps,"Indulge in a Cheese experience with our Cheese Italian Chicken Burger. Flame Grilled Chicken Patty encased in our Sesame Bun, paired with Tomato Slices, Flavoured Cheese Slice and Tomato Cheese Sauce.",175.24
Cheese Italian Veg Burger,Burgers & Wraps,"Indulge in a Cheese experience with our Cheese Italian Veg Burger. Corn n Cheese Patty encased in our Sesame Bun, paired with Tomato Slices, Flavoured Cheese Slice and Tomato Cheese Sauce.",170.48
